Año;Mes;Institución;Suficiencia patrimonial;Proporción de activos improductivos;Proporción de activos productivos;Eficiencia del financiamiento;Morosidad cartera total;Cobertura cartera problemática;Eficiencia de costos operacionales en el manejo del activo;Grado de Absorción;Eficiencia en el manejo de gastos de personal en el manejo de activos;ROE;ROA;Intermediación financiera;Margen de intermediación que genera el patrimonio;Margen de intermediación que genera el activo;Rendimiento de la cartera por vencer;Liquidez;Cartera improductiva descubierta en relación al patrimonio y resultados ;Cartera Improductiva sobre el Patrimonio de Diciembre. ;Porcentaje de los activos totales que están financiados con el patrimonio real de la entidad;Cambio relativo de la participación de los activos improductivos netos que mantiene la institución en relación a sus activos totales.;Índice de Capitalización Neto: Solvencia
2021;Octubre;MINGA LTDA;2,800057652;0,078762203;0,921237797;1,151041629;0,070868632;0,760832211;0,084434743;0,861614827;0,041703421;0,104329577;0,019787004;1,536366398;0,071503118;0,013561183;0,188765398;0,160012097;0,079401031;0,359273208;0,177386883;1,078762203;0,164435575
2021;Octubre;MULTIEMPRESARIAL;1,708932683;0,082847867;0,917152133;1,081492416;0,070790212;0,668371332;0,063783593;1,140301393;0,027016402;-0,003965336;-0,000564683;0,906134714;-0,055109497;-0,007847861;0,162908403;0,232999916;0,129541761;0,389384969;0,129932413;1,082847867;0,119991383
2021;Octubre;NUEVA ESPERANZA LTDA;2,129648875;0,07152467;0,92847533;1,089920367;0,030707199;1,215817589;0,067219178;0,930660745;0,02863573;0,066194006;0,008871282;1,279812405;0,037369152;0,005008192;0,169705655;0,21623508;0;0,185607704;0,133866881;1,07152467;0,124931217
2021;Octubre;NUEVA HUANCAVILCA;1,059813105;0,119899449;0,880100551;1,008329453;0,038331184;0,652943537;0,092925212;0,999335647;0,046751956;0,016408949;0,001703177;0,995404762;0,000595171;6,17762E-05;0,208579836;0,21903295;0,108819251;0,317389732;0,091965953;1,119899449;0,08211983
2021;Octubre;OCCIDENTAL;2,057671619;0,077792392;0,922207608;1,069122995;0,046869611;0,755185957;0,130112121;0,947833209;0,068494078;#¡NULO!;0,00826111;1,0319322;#¡NULO!;0,007161104;0,425876362;0,235932042;0,092916976;0,390268299;0,106835025;1,077792392;0,099123936
2021;Octubre;"ORDEN Y SEGURIDAD ""OYS""";0,948447263;0,378172388;0,621827612;0,976803316;0,079182459;0,935646618;0,06208266;1,405361124;0,020869791;0,002463925;0,000793516;0,850414354;-0,055602738;-0,017907068;0,164176902;0,393568238;0,007950032;0,123775433;0,317689014;1,378172388;0,230514714
2021;Octubre;PICHINCHA LTDA;2,299588473;0,087271035;0,912728965;1,166699871;0,113975008;0,723023016;0,098193721;1,034689165;0,042702557;0,04976184;0,009671458;1,438106463;-0,01693839;-0,003292059;0,199525808;0,140870466;0,153110004;0,574279059;0,185163204;1,087271035;0,17030087
2021;Octubre;PILAHUIN;0,720365253;0,367811551;0,632188449;0,7415539;0,224693172;0,266482965;0,131595661;0,845955151;0,059465589;#¡NULO!;0,02542744;0,889533612;#¡NULO!;0,023963012;0,551083088;0,349500651;0,872272596;1,278249664;0,136870565;1,367811551;0,100065367
2021;Octubre;PUSHAK RUNA HOMBRE LIDER;1,257572441;0,162938774;0,837061226;1,051713943;0,076292008;0,662712955;0,11023731;1,135623628;0,042950254;0,012399547;0,002486963;1,315045045;-0,065639608;-0,013165263;0,212402154;0,319924793;0,114103958;0,341597917;0,173118205;1,162938774;0,148862699
2021;Octubre;SALINAS LIMITADA;1,768732203;0,168435637;0,831564363;1,151849853;0,073091481;0,70776105;0,088377744;0,875727907;0,034320426;0,055976635;0,013153125;1,164022771;0,053373436;0,012541438;0,189868501;0,350978723;0,065406509;0,234150642;0,235754849;1,168435637;0,20176965
2021;Octubre;SALITRE LTDA;1,143646465;0,264954559;0,735045441;1,032301617;0,13003149;0,626260205;0,088087823;1,020965956;0,043674234;0,004441693;0,001076047;0,936791208;-0,007466833;-0,00180892;0,20900064;0,393705496;0,117167813;0,314633282;0,239921839;1,264954559;0,189668346
2021;Octubre;SAN CRISTOBAL LTDA;3,757202579;0,052993959;0,947006041;1,221675383;0,049113425;1,375703304;0,043291905;0,79069809;0,017101318;0,066074758;0,012564533;0,790401023;0,060264064;0,011459593;0,157120433;0,21464174;0;0,162790032;0,193885564;1,052993959;0,184127897
2021;Octubre;SAN GABRIEL LTDA;2,760388808;0,091443337;0,908556663;1,230601469;0,052477491;0,989831237;0,086797864;0,76174557;0,041117384;0,091804773;0,021732946;1,196421995;0,114679752;0,02714814;0,217368433;0,316967247;0,001892227;0,199859043;0,209328503;1,091443337;0,191790536
